,name,longitude,latitude
338,HKSKH TUNG CHUNG NURSERY SCHOOL,114.1884,22.3244
339,HKSPC AW HOE NURSERY SCHOOL,114.1982,22.2892
340,HKSPC BOC NURSERY SCHOOL,114.03,22.2096
341,HKSPC BUTTERFLY ESTATE NURSERY SCHOOL,113.9619,22.3745
342,HKSPC CHEUNG SHA WAN NURSERY SCHOOL,114.0302,22.2054
343,HKSPC HK BANK FOUNDATION NURSERY SCHOOL,114.1982,22.2892
344,HKSPC LAM WOO NURSERY SCHOOL,114.1982,22.2892
345,HKSPC MA TAU CHUNG NURSERY SCHOOL,114.1884,22.3244
346,HKSPC MR & MRS THOMAS TAM NURSERY SCHOOL,114.1664,22.3397
347,HKSPC OCEAN SHORES NURSERY SCHOOL,114.2547,22.3015
348,HKSPC OPERATION SANTA CLAUS FANLING N S,114.0567,22.4859
349,HKSPC PARK'N SHOP STAFF C FUND NURS SCH,114.2194,22.2139
350,HKSPC PORTLAND STREET NURSERY SCHOOL,114.1696,22.3153
351,HKSPC SHAM TSENG NURSERY SCHOOL,114.0602,22.3684
352,HKSPC SIA WHAMPOA NURSERY SCHOOL,114.25,22.263
353,HKSPC SZE WU SHU MIN NURSERY SCHOOL,114.1982,22.2892
354,HKSPC THE JOCKEY CLUB HOK SAM NUR SCH,114.1327,22.5027
355,HKSPC THOMAS TAM NURSERY SCHOOL,114.1982,22.2892
356,HKTA YUEN YUEN KG (FU SHIN ESTATE),114.1761,22.4522
357,HKTA YUEN YUEN KG (TUNG TAU ESTATE),114.1928,22.3363
358,HKTA YUEN YUEN KINDERGARTEN,114.0777,22.4253
359,HKYWCA ATHENA KINDERGARTEN,114.2346,22.4261
360,HKYWCA CHEUNG CHING NURSERY SCHOOL,114.1982,22.2892
361,HKYWCA CHIU OI WAH NURSERY SCHOOL,114.1982,22.2892
362,HKYWCA CHOI WAN NURSERY SCHOOL,114.0302,22.2054
363,HKYWCA FAITH HOPE NURSERY SCHOOL,114.1982,22.2892
364,HKYWCA LUNG HANG NURSERY SCHOOL,114.1982,22.2892
365,HKYWCA ON TING NURSERY SCHOOL,114.1982,22.2892
366,HKYWCA SHIU PONG NURSERY SCHOOL,114.1982,22.2892
367,HKYWCA TAI HON FAN NURSERY SCHOOL,114.0302,22.2054
368,HKYWCA TSUEN WAN NURSERY SCHOOL,114.1982,22.2892
369,HO CHING KG (SPONSORED BY SIK SIK YUEN),114.1354,22.3806
370,HO LAP KG (SPONSORED BY SIK SIK YUEN),113.9992,22.4338
371,HO OI DAY NURSERY (SIK SIK YUEN),113.9746,22.3893
372,HO SHUI KG SPONSORED BY SIK SIK YUEN,113.9992,22.4338
373,HO TAK KG (SPONSORED BY SIK SIK YUEN),113.9992,22.4338
374,HO YAN KG (SPONSORED BY SIK SIK YUEN),113.9992,22.4338
375,"HOH FUK TONG KG (TM CH, CCC, HK CCL)",113.9672,22.386
376,HOLFORD ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
377,HOLY TRINITY CENTRE KINDERGARTEN,114.1891,22.3258
378,HOMANTIN BAPTIST CHURCH KINDERGARTEN,114.1372,22.3651
379,HOMANTIN YANG MEMORIAL METHODIST PRE-SCH,114.1724,22.314
